Image_6	4.1168	0.0013	4.1127	0.0013	0	0
Image_6	4.2934	0.0013	4.2893	0.0013	0	0
Image_6	0.2476	0.0013	0.2432	0.0024	0	0
Image_6	4.2237	0.0013	4.2185	0.0024	0	0
Image_6	4.8848	0.0012	4.8789	0.0031	0	0
Image_6	1.8309	0.0013	1.8251	0.0035	0	0
Image_6	6.3095	0.0013	6.3035	0.0035	0	0
Image_6	6.3142	0.0013	6.3081	0.0035	0	0
Image_6	0.2418	0.0013	0.2367	0.0032	0	0
Image_6	4.7763	0.0013	4.7718	0.0017	0	0
Image_6	4.315	0.0013	4.3109	0.002	0	0
Image_6	5.2817	0.0013	5.2768	0.0013	0	0
Image_6	4.3202	0.0012	4.3161	0.0013	0	0
Image_6	0.2434	0.0012	0.2398	0.0017	0	0
Image_6	4.2374	0.0012	4.2321	0.0024	0	0
Image_6	6.7956	0.0013	6.7914	0.0017	0	0
Image_6	7.4859	0.0013	7.4792	0.0046	0	0
Image_6	4.1316	0.0013	4.1276	0.0013	0	0
Image_6	4.4003	0.0013	4.3948	0.0026	0	0
Image_6	0.2277	0.0013	0.2237	0.002	0	0
Image_7	4.2894	0.0013	4.2822	0.0044	0	0
Image_7	4.3899	0.0013	4.3853	0.0017	0	0
Image_7	0.2503	0.0013	0.24	0.0084	0	0
Image_7	4.9188	0.0013	4.9082	0.0077	0	0
Image_7	6.2001	0.0012	6.1881	0.0099	0	0
Image_7	4.2064	0.0013	4.1962	0.0073	0	0
Image_7	0.2429	0.0013	0.24	0.0009	0	0
Image_7	1.8116	0.0013	1.8079	0.0017	0	0
Image_7	0.2508	0.0012	0.2473	0.0017	0	0
Image_7	6.5387	0.0013	6.5356	0.0009	0	0
Image_7	2.7655	0.0013	2.7614	0.0021	0	0
Image_7	5.4748	0.0013	5.4709	0.0019	0	0
Image_7	5.0396	0.0013	5.0334	0.0036	0	0
Image_7	4.4514	0.0013	4.4442	0.0043	0	0
Image_7	7.4781	0.0013	7.4725	0.0033	0	0
Image_7	4.281	0.0013	4.276	0.0021	0	0
Image_7	0.2534	0.0013	0.2432	0.0084	0	0
Image_7	4.2484	0.0013	4.2437	0.0021	0	0
Image_7	4.7777	0.0012	4.7682	0.0066	0	0
Image_7	6.4584	0.0013	6.4535	0.0025	0	0
Image_140	6.3007	0.0013	6.2945	0.0041	0	0
Image_140	4.2602	0.0013	4.2529	0	0	0
Image_140	6.3174	0.0013	6.3111	0.0041	0	0
Image_140	0.231	0.0013	0.2256	0.0037	0	0
Image_140	4.4524	0.0013	4.4461	0.0034	0	0
Image_140	5.6713	0.0013	5.6654	0.0037	0	0
Image_140	7.4633	0.0013	7.4568	0	0	0
Image_140	4.0588	0.0013	4.0529	0.003	0	0
Image_140	0.223	0.0012	0.2194	0.0018	0	0
Image_140	4.6286	0.0013	4.624	0.0022	0	0
Image_140	4.2825	0.0013	4.2754	0	0	0
Image_140	5.2902	0.0013	5.2845	0.003	0	0
Image_140	4.2469	0.0013	4.2398	0	0	0
Image_140	4.0524	0.0013	4.0465	0.003	0	0
Image_140	0.2418	0.0012	0.2393	0.0007	0	0
Image_140	4.2515	0.0013	4.246	0.0026	0	0
Image_140	4.1231	0.0013	4.1201	0.0007	0	0
Image_140	4.2459	0.0012	4.2419	0.0011	0	0
Image_140	6.3407	0.0013	6.3339	0	0	0
Image_140	3.0458	0.0013	3.0409	0.0029	0	0
Image_180	4.1779	0.0013	4.1717	0.0034	0	0
Image_180	5.1173	0.0013	5.1135	0.0011	0	0
Image_180	0.2508	0.0013	0.2483	0.0007	0	0
Image_180	0.2396	0.0012	0.2337	0.0041	0	0
Image_180	0.24	0.0013	0.234	0.0041	0	0
Image_180	0.2402	0.0013	0.2343	0.0041	0	0
Image_180	4.0514	0.0013	4.0465	0.0026	0	0
Image_180	4.6382	0.0013	4.6297	0	0	0
Image_180	4.2721	0.0013	4.2656	0.0037	0	0
Image_180	1.8337	0.0013	1.8249	0.0064	0	0
Image_180	5.7469	0.0013	5.7397	0.0037	0	0
Image_180	4.0707	0.0013	4.062	0.006	0	0
Image_180	1.8291	0.0013	1.8254	0.0015	0	0
Image_180	6.4699	0.0013	6.4644	0.003	0	0
Image_180	4.2856	0.0012	4.2805	0.0023	0	0
Image_180	5.0405	0.0013	5.033	0.0052	0	0
Image_180	5.5655	0.0013	5.5616	0.0007	0	0
Image_180	4.214	0.0013	4.2074	0.0037	0	0
Image_180	4.2509	0.0013	4.2463	0.0015	0	0
